City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
257,Shenjiamen,CN,78.1,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
259,Faanui,PF,77.65,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
260,Portland,US,79.29,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
274,Aquiraz,BR,81.18,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
276,Narsimhapur,IN,77.74,overcast clouds,22.95,79.2,Hotel Pratap Palace
277,Waddan,LY,82.04,clear sky,29.1614,16.139,محل الشريف محمد العايب
285,Kavieng,PG,81.23,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
287,Saint-Georges,GD,80.2,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
288,San Sebastian,ES,79.45,clear sky,43.3128,-1.975,Hotel de Londres y de Inglaterra
290,Cascais,PT,78.15,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
291,Sao Jose Da Coroa Grande,BR,76.26,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
292,Vung Tau,VN,79.32,light rain,10.346,107.0843,Seaside Resort
293,Fomboni,KM,76.32,clear sky,-12.28,43.7425,Auberge les abou
295,Pekalongan,ID,76.01,light rain,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
296,Shu,KZ,76.1,clear sky,43.5983,73.7614,Shyngyzkhan
298,Surt,LY,78.13,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
307,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
311,Jalu,LY,81.84,clear sky,29.0331,21.5482,صاحبة الفخامة
312,Bubaque,GW,80.62,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
319,San Policarpo,PH,78.58,light rain,12.1791,125.5072,Agapita M. Nicart
321,Amahai,ID,76.59,light rain,-3.3333,128.9167,HOTEL ISABELA
324,Port Blair,IN,79.48,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
331,Sabha,LY,83.88,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
335,Razole,IN,77.76,light rain,16.4833,81.8333,Sterling Palavelli Godavari
336,Nieuw Amsterdam,SR,81.01,heavy intensity rain,5.8833,-55.0833,Hotel Stardust
337,Ko Samui,TH,82.15,overcast clouds,9.5357,99.9357,The Passage
339,Itoman,JP,83.17,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
340,Sorong,ID,76.86,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
344,Yigou,CN,77.31,overcast clouds,35.8114,114.3167,Blue Sky Accommodation
349,Nantucket,US,78.91,clear sky,41.2835,-70.0995,Jared Coffin House
350,Halifax,CA,76.89,broken clouds,44.6453,-63.5724,Hotel Halifax
354,Buchanan,LR,75.52,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
359,Pachino,IT,77.68,clear sky,36.7186,15.0907,Il Veliero
360,Kota Belud,MY,76.84,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
367,Tautira,PF,75.24,light rain,-17.7333,-149.15,Pension Oaoa
368,Touros,BR,76.66,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
372,Hede,CN,75.22,broken clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
374,Meulaboh,ID,76.66,overcast clouds,4.1363,96.1285,Kost Pria
375,Lakatoro,VU,76.78,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
391,Soyaux,FR,78.78,overcast clouds,45.65,0.2,Mercure Angoulême - Hôtel de France
402,Zhezkazgan,KZ,83.55,clear sky,47.8043,67.7144,Hotel Zumrat
405,Rehli,IN,76.86,overcast clouds,23.6333,79.0833,संध्या टिफिन सेटर रहली
411,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
413,La Asuncion,VE,77.13,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
414,Derzhavinsk,KZ,80.24,overcast clouds,51.1,66.3167,Ooo.khim Baza
421,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
423,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
425,Altamira,BR,83.19,overcast clouds,-3.2033,-52.2064,Requinte Hotel
426,Bandarbeyla,SO,79.05,overcast clouds,9.4942,50.8122,JABIR HOTEL
428,Bereda,ES,77.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
430,Diffa,NE,78.12,overcast clouds,13.3154,12.6113,ProDAF/Diffa
439,Lufilufi,WS,77.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
442,Auki,SB,76.23,overcast clouds,-8.7676,160.7034,Auki Motel
443,Mitsamiouli,KM,77.05,clear sky,-11.3847,43.2844,Foyer ADM
444,Bouna,CI,76.96,overcast clouds,9.2667,-3.0,Hôtel lababa
446,Ocos,GT,84.38,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
447,Valley City,US,84.72,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
451,Altoona,US,84.33,clear sky,40.5187,-78.3947,Cedar Grove Motel
458,Yarada,IN,79.12,light intensity drizzle,17.65,83.2667,Yarada Jungle Beach Resorts
459,Banda Aceh,ID,79.95,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
463,Tukrah,LY,76.87,clear sky,32.5341,20.5791,Lagrota restaurant
468,Sabang,ID,82.42,overcast clouds,5.8933,95.3214,Hotel Citra
470,Kalianget,ID,80.35,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
472,Marica,BR,80.55,overcast clouds,-22.9194,-42.8186,Marica Hills
473,Akyab,MM,81.21,overcast clouds,20.15,92.9,Hotel Memory
482,Moose Factory,CA,80.51,overcast clouds,51.2585,-80.6094,Cree Village Eco Lodge
485,Vaitape,PF,77.61,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
486,Benghazi,LY,77.97,clear sky,32.1167,20.0667,Tibesti Hotel
489,Bobo Dioulasso,BF,78.03,broken clouds,11.1771,-4.2979,IBA Hotel
490,Porto Novo,BJ,76.39,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
491,Chippewa Falls,US,82.58,overcast clouds,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
493,Marsh Harbour,BS,82.74,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
495,Hue,VN,82.51,scattered clouds,16.4667,107.6,Saigon Morin Hotel
497,Vincennes,FR,75.92,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
501,Tarauaca,BR,82.83,overcast clouds,-8.1614,-70.7656,Flat Temporada
503,Mangan,IN,75.67,clear sky,27.5167,88.5333,Hotel Mout View
506,Bilma,NE,80.85,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
510,Baker City,US,83.91,clear sky,44.7749,-117.8344,Bridge Street Inn
513,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
517,Chateaubelair,VC,79.95,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
539,Lujiang,CN,83.75,overcast clouds,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
552,Teshie,GH,76.32,broken clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
560,Grand-Lahou,CI,75.22,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
568,Bogo,PH,78.96,overcast clouds,11.0517,124.0055,Acrige Apartelle
570,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
573,Lenger,KZ,81.84,clear sky,42.183,69.8839,Gostevoy Dom 1
575,Barcelos,PT,79.92,few clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
577,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
579,Yarmouth,US,83.97,clear sky,41.7057,-70.2286,Blue Rock Resort
586,Samarai,PG,76.24,overcast clouds,-10.6167,150.6667,Nuli Sapi
588,Ambon,ID,79.23,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
591,Semnan,IR,81.0,clear sky,35.5729,53.3971,Semnan Tourist Hotel
596,Torbat-E Jam,IR,78.67,clear sky,35.244,60.6225,White building
598,Craig,US,84.15,broken clouds,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
599,Mogadishu,SO,76.55,overcast clouds,2.0371,45.3438,Hotel Juba
604,Takoradi,GH,75.58,broken clouds,4.8845,-1.7554,Raybow International Hotel
612,Kudahuvadhoo,MV,82.96,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
615,Enshi,CN,75.51,overcast clouds,30.3,109.4833,Moevenpick Enshi
621,Qingdao,CN,78.57,scattered clouds,36.0986,120.3719,Le Meridien Qingdao
622,Itacarambi,BR,82.62,scattered clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
633,Mahibadhoo,MV,82.94,scattered clouds,3.7833,72.9667,Omadhoo Inn
634,Cassia,BR,77.77,overcast clouds,-20.5831,-46.9219,Hotel e Restaurante Âncora
640,Korla,CN,79.05,overcast clouds,41.7597,86.1469,Gulisitan Hotel
641,Dunyapur,PK,84.22,broken clouds,29.7995,71.7196,Ghulam Abbas House
644,Almenara,BR,77.16,scattered clouds,-16.1836,-40.6944,Pousada Estância
645,Padang,ID,77.81,overcast clouds,-0.9492,100.3543,Mercure Padang
657,Hami,CN,77.86,few clouds,42.8,93.45,Laoyutang Resort
658,El Retorno,CO,78.15,overcast clouds,2.3302,-72.6276,Hostal la posada de Rita
668,Tezu,IN,78.33,few clouds,27.9167,96.1667,Circuit House
671,Kampong Thum,KH,76.17,broken clouds,12.7111,104.8887,Sambor Village Hotel
676,Puerto Ayacucho,VE,82.9,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
681,Arys,KZ,82.89,clear sky,42.4252,68.795,Gostinitsa
682,Bisceglie,IT,83.77,clear sky,41.242,16.5044,Nicotel Bisceglie
684,Mancio Lima,BR,84.15,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
685,Bonthe,SL,77.22,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
687,Orodara,BF,76.03,light rain,10.9492,-4.9342,Bkf Orodara
688,Minervino Murge,IT,79.23,clear sky,41.0843,16.0784,B&B Le Mura
691,Havelock,US,83.05,few clouds,34.8791,-76.9013,Sherwood Motel
693,Gigmoto,PH,81.16,overcast clouds,13.7796,124.39,Cj's Travellers Inn
699,Ormara,PK,81.81,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
